rank,finalWorth,personName,age,country,source,industries,countryOfCitizenship,organization,selfMade,gender,title,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country,Age with Median,Age with Median (bins),Age Numerical,Age Numerical (bins),Age Bins
48,28500,Jeff Yass,64,United States,"Trading, investments",Finance & Investments,United States,Unknown,TRUE,MALE,,1958,7,17,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,64,60,64,60,More than 21
57,25300,Thomas Peterffy,78,United States,Discount brokerage,Finance & Investments,United States,Unknown,TRUE,MALE,,1944,9,30,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,78,75,78,75,More than 21
81,20200,"Thomas Frist, Jr. & family",84,United States,Hospitals,Healthcare,United States,Unknown,TRUE,MALE,,1938,8,12,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,84,80,84,80,More than 21
92,18000,Daniel Gilbert,61,United States,Quicken Loans,Finance & Investments,United States,Unknown,TRUE,MALE,,1962,1,17,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,61,60,61,60,More than 21
104,16200,Eric Schmidt,67,United States,Google,Technology,United States,Unknown,TRUE,MALE,,1955,4,27,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,67,65,67,65,More than 21
138,12900,Stanley Kroenke,75,United States,"Sports, real estate",Sports,United States,Unknown,TRUE,MALE,,1947,7,29,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,75,75,75,75,More than 21
144,12100,Shahid Khan,72,United States,Auto parts,Automotive,United States,Unknown,TRUE,MALE,,1950,7,18,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,72,70,72,70,More than 21
147,11600,Stephen Ross,82,United States,Real estate,Real Estate,United States,Unknown,TRUE,MALE,,1940,5,10,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,82,80,82,80,More than 21
170,10300,Andrew Beal,70,United States,"Banks, real estate",Finance & Investments,United States,Unknown,TRUE,MALE,,1952,11,29,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,70,70,70,70,More than 21
171,10200,Jeffery Hildebrand,64,United States,Oil,Energy,United States,Unknown,TRUE,MALE,,1959,3,5,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,64,60,64,60,More than 21
182,10000,Autry Stephens,85,United States,Oil,Energy,United States,Unknown,TRUE,MALE,,1938,3,8,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,85,85,85,85,More than 21
208,9200,John Malone,82,United States,Cable television,Media & Entertainment,United States,Unknown,TRUE,MALE,,1941,3,7,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,82,80,82,80,More than 21
208,9200,Eric Smidt,63,United States,Hardware stores,Fashion & Retail,United States,Unknown,TRUE,MALE,,1960,1,1,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,63,60,63,60,More than 21
232,8600,Leon Black,71,United States,Private equity,Finance & Investments,United States,Unknown,TRUE,MALE,,1951,7,31,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,71,70,71,70,More than 21
246,8300,John Morris,75,United States,Sporting goods retail,Fashion & Retail,United States,Unknown,TRUE,MALE,,1948,3,19,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,75,75,75,75,More than 21
249,8200,George Roberts,79,United States,Private equity,Finance & Investments,United States,Unknown,TRUE,MALE,,1943,9,14,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,79,75,79,75,More than 21
261,8000,Nathan Blecharczyk,39,United States,Airbnb,Technology,United States,Unknown,TRUE,MALE,,1983,6,11,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,39,35,39,35,More than 21
268,7900,Orlando Bravo,52,United States,Private equity,Finance & Investments,United States,Unknown,TRUE,MALE,,1970,9,23,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,52,50,52,50,More than 21
268,7900,Ramzi Musallam,54,United States,Private equity,Finance & Investments,United States,Unknown,TRUE,MALE,,1968,9,17,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,54,50,54,50,More than 21
276,7800,Rocco Commisso,73,United States,Telecom,Telecom,United States,Unknown,TRUE,MALE,,1949,11,25,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,73,70,73,70,More than 21
282,7700,Reinhold Schmieding,68,United States,medical devices,Healthcare,United States,Unknown,TRUE,MALE,,1955,1,3,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,68,65,68,65,More than 21
305,7400,Harry Stine,81,United States,Agriculture,Food & Beverage,United States,Unknown,TRUE,MALE,,1941,11,30,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,81,80,81,80,More than 21
317,7200,Arthur Dantchik,65,United States,"Trading, investments",Finance & Investments,United States,Unknown,TRUE,MALE,,1957,11,25,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,65,65,65,65,More than 21
317,7200,Jeff Greene,68,United States,"Real estate, investments",Real Estate,United States,Unknown,TRUE,MALE,,1954,12,10,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,68,65,68,65,More than 21
332,7000,Jack Dangermond,77,United States,Mapping software,Technology,United States,Unknown,TRUE,MALE,,1945,7,23,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,77,75,77,75,More than 21
332,7000,Don Vultaggio & family,71,United States,Beverages,Food & Beverage,United States,Unknown,TRUE,MALE,,1952,2,26,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,71,70,71,70,More than 21
344,6900,Igor Olenicoff,80,United States,Real estate,Real Estate,United States,Unknown,TRUE,MALE,,1942,9,20,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,80,80,80,80,More than 21
365,6700,Ken Fisher,72,United States,Money management,Finance & Investments,United States,Unknown,TRUE,MALE,,1950,11,29,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,72,70,72,70,More than 21
390,6500,David Bonderman,80,United States,Private equity,Finance & Investments,United States,Unknown,TRUE,MALE,,1942,11,27,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,80,80,80,80,More than 21
397,6400,Dennis Washington,88,United States,"Construction, mining",Logistics,United States,Unknown,TRUE,MALE,,1934,7,27,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,88,85,88,85,More than 21
418,6100,Tom Gores,58,United States,Private equity,Finance & Investments,United States,Unknown,TRUE,MALE,,1964,7,31,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,58,55,58,55,More than 21
425,6000,Neil Bluhm,85,United States,Real estate,Real Estate,United States,Unknown,TRUE,MALE,,1938,1,12,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,85,85,85,85,More than 21
425,6000,Jay Chaudhry,63,United States,Security software,Technology,United States,Unknown,TRUE,MALE,,1959,8,26,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,63,60,63,60,More than 21
425,6000,Michael Milken,76,United States,Investments,Finance & Investments,United States,Unknown,TRUE,MALE,,1946,7,4,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,76,75,76,75,More than 21
425,6000,David Steward,71,United States,IT provider,Technology,United States,Unknown,TRUE,MALE,,1951,7,2,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,71,70,71,70,More than 21
425,6000,Les Wexner & family,85,United States,Retail,Fashion & Retail,United States,Unknown,TRUE,MALE,,1937,9,8,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,85,85,85,85,More than 21
437,5900,Antony Ressler,62,United States,Finance,Finance & Investments,United States,Unknown,TRUE,MALE,,1960,10,12,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,62,60,62,60,More than 21
442,5800,Josh Harris,58,United States,Private equity,Finance & Investments,United States,Unknown,TRUE,MALE,,1964,12,29,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,58,55,58,55,More than 21
442,5800,Patrick Soon-Shiong,70,United States,Pharmaceuticals,Healthcare,United States,Unknown,TRUE,MALE,,1952,7,29,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,70,70,70,70,More than 21
445,5700,John Brown,88,United States,Medical equipment,Healthcare,United States,Unknown,TRUE,MALE,,1934,9,15,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,88,85,88,85,More than 21
455,5600,Ken Langone,87,United States,Investments,Finance & Investments,United States,Unknown,TRUE,MALE,,1935,9,16,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,87,85,87,85,More than 21
466,5500,Archie Aldis Emmerson & family,93,United States,"Timberland, lumber mills",Manufacturing,United States,Unknown,TRUE,MALE,,1929,4,10,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,93,90,93,90,More than 21
466,5500,Mitchell Rales,66,United States,"Manufacturing, investments",Manufacturing,United States,Unknown,TRUE,MALE,,1956,8,21,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,66,65,66,65,More than 21
497,5300,Todd Boehly,49,United States,Finance,Finance & Investments,United States,Unknown,TRUE,MALE,,1973,9,20,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,49,45,49,45,More than 21
497,5300,Rick Caruso,64,United States,Real estate,Real Estate,United States,Unknown,TRUE,MALE,,1959,1,7,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,64,60,64,60,More than 21
497,5300,Stewart Resnick,86,United States,Agriculture,Food & Beverage,United States,Unknown,TRUE,MALE,,1936,12,24,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,86,85,86,85,More than 21
497,5300,Ronald Wanek,81,United States,Furniture,Manufacturing,United States,Unknown,TRUE,MALE,,1941,5,19,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,81,80,81,80,More than 21
511,5200,Robert Faith,59,United States,Real estate management,Real Estate,United States,Unknown,TRUE,MALE,,1963,10,3,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,59,55,59,55,More than 21
511,5200,Charles Simonyi,74,United States,Microsoft,Technology,United States,Unknown,TRUE,MALE,,1948,9,10,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,74,70,74,70,More than 21
511,5200,Ty Warner,78,United States,"Plush toys, real estate",Real Estate,United States,Unknown,TRUE,MALE,,1944,9,3,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,78,75,78,75,More than 21
511,5200,Sam Zell,81,United States,"Real estate, private equity",Real Estate,United States,Unknown,TRUE,MALE,,1941,9,28,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,81,80,81,80,More than 21
523,5100,Sami Mnaymneh,61,United States,Private equity,Finance & Investments,United States,Unknown,TRUE,MALE,,1961,7,13,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,61,60,61,60,More than 21
523,5100,Tony Tamer,65,United States,Private equity,Finance & Investments,United States,Unknown,TRUE,MALE,,1957,10,12,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,65,65,65,65,More than 21
